,Team,Over,Ball,Ball ID,score,Runs,bowler,on_strike_batter,commentary,fow,Batting_Order_Strike,out_batsman,Batting_Order_Out,partnership_key,Batting_Order_NonStrike,non_strike_batter,partnership_key_name,nb_runs,wide_runs,leg_bye_flag,bye_flag,leg_bye_runs,bye_runs,extras_runs,Bat_Runs
27,Lancashire,4,4,27,4,4,Moriarty,Croft,"Moriarty to Croft, FOUR runs",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,4
28,Lancashire,4,5,28,2,2,Moriarty,Croft,"Moriarty to Croft,  2 runs",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,2
29,Lancashire,4,6,29,4,4,Moriarty,Croft,"Moriarty to Croft, FOUR runs",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,4
30,Lancashire,5,1,30,1,1,Jordan,Buttler,"Jordan to Buttler,  1 run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
31,Lancashire,5,2,31,4,4,Jordan,Croft,"Jordan to Croft, FOUR runs",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,4
32,Lancashire,5,3,32,0,0,Jordan,Croft,"Jordan to Croft, no run",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,0
33,Lancashire,5,4,33,1,1,Jordan,Croft,"Jordan to Croft,  1 run",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
34,Lancashire,5,5,34,0,0,Jordan,Buttler,"Jordan to Buttler, no run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,0
35,Lancashire,5,6,35,1,1,Jordan,Buttler,"Jordan to Buttler,  1 run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
36,Lancashire,6,1,36,6,6,Narine,Buttler,"Narine to Buttler,  SIX runs",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,6
37,Lancashire,6,2,37,6,6,Narine,Buttler,"Narine to Buttler,  SIX runs",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,6
38,Lancashire,6,3,38,1,1,Narine,Buttler,"Narine to Buttler,  1 run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
39,Lancashire,6,4,39,1,1,Narine,Croft,"Narine to Croft,  1 run",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
40,Lancashire,6,5,40,0,0,Narine,Buttler,"Narine to Buttler, no run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,0
41,Lancashire,6,6,41,1,1,Narine,Buttler,"Narine to Buttler,  1 run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
42,Lancashire,7,1,42,4b,4,Sam Curran,Buttler,"Sam Curran to Buttler, 4 byes",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,1,0,4,4,0
43,Lancashire,7,2,43,0,0,Sam Curran,Buttler,"Sam Curran to Buttler, no run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,0
44,Lancashire,7,3,44,1,1,Sam Curran,Buttler,"Sam Curran to Buttler,  1 run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
45,Lancashire,7,4,45,1,1,Sam Curran,Croft,"Sam Curran to Croft,  1 run",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
46,Lancashire,7,5,46,2,2,Sam Curran,Buttler,"Sam Curran to Buttler,  2 runs",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,2
47,Lancashire,7,6,47,0,0,Sam Curran,Buttler,"Sam Curran to Buttler, no run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,0
48,Lancashire,8,1,48,4,4,Abbott,Croft,"Abbott to Croft, FOUR runs",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,4
49,Lancashire,8,2,49,0,0,Abbott,Croft,"Abbott to Croft, no run",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,0
