Team,Over,Ball,Ball ID,Runs,Wickets
SRH,10,2,65,6,0
SRH,10,3,66,2,0
SRH,10,4,67,1,0
SRH,10,5,68,1,0
SRH,10,5,69,0,0
SRH,10,6,70,1,0
SRH,10,6,71,1,0
SRH,11,1,72,4,0
SRH,11,2,73,4,0
SRH,11,3,74,2,0
SRH,11,4,75,4,0
SRH,11,5,76,1,0
SRH,11,6,77,1,0
SRH,12,1,78,6,0
SRH,12,2,79,1,0
SRH,12,3,80,0,1
SRH,12,4,81,1,0
SRH,12,5,82,4,0
SRH,12,6,83,1,0
SRH,13,1,84,1,0
SRH,13,2,85,1,0
SRH,13,3,86,1,0
SRH,13,3,87,6,0
SRH,13,4,88,1,0
SRH,13,4,89,1,0
SRH,13,4,90,6,0
SRH,13,5,91,0,0
SRH,13,6,92,1,0
SRH,14,1,93,0,0
SRH,14,2,94,4,0
SRH,14,3,95,1,0
SRH,14,4,96,4,0
SRH,14,5,97,1,0
SRH,14,6,98,6,0
SRH,15,1,99,1,0
SRH,15,2,100,6,0
SRH,15,3,101,2,0
SRH,15,4,102,1,0
SRH,15,5,103,1,0
SRH,15,6,104,1,0
SRH,16,1,105,0,0
SRH,16,2,106,6,0
SRH,16,3,107,1,0
SRH,16,4,108,6,0
SRH,16,5,109,1,0
SRH,16,6,110,0,1
SRH,17,1,111,2,0
SRH,17,2,112,1,0
SRH,17,2,113,0,0
SRH,17,3,114,1,0
SRH,17,4,115,1,0
SRH,17,5,116,1,0
SRH,17,6,117,4,0
SRH,18,1,118,1,0
SRH,18,2,119,4,0
SRH,18,3,120,4,0
SRH,18,4,121,6,0
SRH,18,5,122,6,0
SRH,18,6,123,4,0
SRH,19,1,124,1,0
SRH,19,1,125,4,0
SRH,19,2,126,6,0
SRH,19,3,127,1,0
SRH,19,4,128,0,0
SRH,19,5,129,6,0
SRH,19,6,130,1,0
SRH,19,6,131,2,0
