Team,Over,Ball,Ball ID,Runs,Wickets
SUR,16,2,101,0,0
SUR,16,3,102,1,0
SUR,16,4,103,2,0
SUR,16,5,104,4,0
SUR,16,6,105,1,0
SUR,17,1,106,0,0
SUR,17,2,107,0,1
SUR,17,3,108,1,0
SUR,17,4,109,1,0
SUR,17,5,110,1,0
SUR,17,6,111,1,0
SUR,18,1,112,1,0
SUR,18,2,113,1,0
SUR,18,3,114,4,0
SUR,18,4,115,2,0
SUR,18,5,116,2,0
SUR,18,6,117,4,0
SUR,19,1,118,0,1
SUR,19,2,119,1,0
SUR,19,3,120,1,0
SUR,19,4,121,1,0
SUR,19,5,122,6,0
SUR,19,6,123,2,0
