ball,score,commentary,fow
19.1,W,"Bailey to Jordan, OUT",Jamie Overton run out (†Buttler) 21 (12b 3x4 0x6 18m) SR: 175
17.2,W,"Bailey to Sam Curran, OUT",Sam Curran c Vilas b Bailey 17 (15b 2x4 0x6 26m) SR: 113.33
14.6,W,"Wood to Roy, OUT",Jason Roy c Croft b Wood 50 (34b 4x4 1x6 43m) SR: 147.05
11.2,W,"Livingstone to Evans, OUT",Laurie Evans b Livingstone 70 (41b 6x4 3x6 44m) SR: 170.73
3.6,W,"Bailey to Jacks, OUT",Will Jacks c Wells b Bailey 8 (11b 1x4 0x6 17m) SR: 72.72
